Canestrini's Harvestman,8 legs
European Harvestman,8 legs
Saddleback Harvestman,8 legs
Rotundum Group,8 legs
Red Nail Gall Mite,8 legs
Giant House Spider,8 legs
Goldenrod Crab Spider,8 legs
Napoleon Spider,8 legs
Mediterranean Spiny False Wolf Spider,8 legs
Green Huntsman Spider,8 legs
Fencepost jumping spider,8 legs
Zebra Jumping Spider,8 legs
European Nursery Web spider,8 legs
Cricket-bat Orbweaver,8 legs
Cross Orbweaver,8 legs
Four-spot Orbweaver,8 legs
Gorse Orbweaver,8 legs
Oak Spider,8 legs
Silver-sided Sector Spider,8 legs
Walnut Orbweaver,8 legs
Wasp Spider,8 legs
Triangulate Combfoot,8 legs
Castor Bean Tick,8 legs
Japanese Tree Frog,Amphibians 
Agile Frog,Amphibians 
European Common Frog,Amphibians 
Marsh frog complex,Amphibians 
Moor Frog,Amphibians 
Natterjack Toad,Amphibians 
True Toads,Amphibians 
Alpine Newt,Amphibians 
Amphibians,Amphibians 
Great Crested Newt,Amphibians 
Smooth Newt,Amphibians 
Black Oil Beetle,beetles
Violet Oil Beetle,beetles
Black snail beetle,beetles
Lesser Vespillo Burying Beetle,beetles
Red-breasted Carrion Beetle,beetles
Bee-eating Beetle,beetles
Trichodes alvearius,beetles
Mottled dingy-brown click beetle,beetles
Rough-haired Lagria Beetle,beetles
Springtime Dung Beetle,beetles
Woodland Dor Beetle,beetles
Thick-legged Flower Beetle,beetles
Black-headed Cardinal Beetle,beetles
Common Cardinal Beetle,beetles
European Glow-worm,beetles
Bronze Ground Beetle,beetles
carabus coriaceus,beetles
Granulated Ground Beetle,beetles
Green Tiger Beetle,beetles
Northern Dune Tiger Beetle,beetles
Strawberry Seed Beetle,beetles
10-spot Ladybird,beetles
22-spot Ladybird,beetles
Asian Lady Beetle,beetles
Cream-spotted Ladybird,beetles
Eyed Ladybird Beetle,beetles
Fourteen-spotted Lady Beetle,beetles
Orange Ladybird,beetles
Pine Ladybird,beetles
Seven-spotted Lady Beetle,beetles
Two-spotted Lady Beetle,beetles
Variegated Lady Beetle,beetles
Alder Leaf Beetle,beetles
ant bag beetle,beetles
black-punctured leaf beetle,beetles
Bloody-nosed Beetle,beetles
Colorado Potato Beetle,beetles
Dead-nettle Leaf Beetle,beetles
Green Dock Beetle,beetles
Lily Leaf Beetle,beetles
Poplar Leaf Beetle,beetles
Rosemary Beetle,beetles
Spotted Willow Leaf Beetle,beetles
Thistle Tortoise Beetle,beetles
Willow Leaf Beetle,beetles
Black-striped Longhorn Beetle,beetles
Blackspotted Longhorn Beetle,beetles
Capricorn beetle,beetles
Fairy-ring Longhorn Beetle,beetles
four-banded longhorn beetle,beetles
Golden-bloomed Longhorn Beetle,beetles
Musk beetle,beetles
Red Pine Longhorn Beetle,beetles
Ribbed Pine Borer,beetles
Spotted Longhorn Beetle,beetles
The Tanner,beetles
Wasp Beetle,beetles
Devil's Coach Horse Beetle,beetles
Cockchafers,beetles
Copper Chafer,beetles
Eurasian Bee Beetle,beetles
European Rhinoceros Beetle,beetles
European Rose Chafer,beetles
Garden Chafer,beetles
Summer Chafer,beetles
Valgus hemipterus,beetles
larder beetle,beetles
Varied Carpet Beetle,beetles
Common Malachite-beetle,beetles
Cantharis livida,beetles
Common Red Soldier Beetle,beetles
Dark Sailor Beetle,beetles
European Stag Beetle,beetles
Lesser Stag Beetle,beetles
Black Vine Weevil,beetles
Canada Thistle Bud Weevil,beetles
Green Immigrant Leaf Weevil,beetles
Nettle weevil,beetles
Common Bagworm Moth,butterflies and moths
Dark Green Fritillary,butterflies and moths
Eurasian White Admiral,butterflies and moths
European Comma,butterflies and moths
European Peacock Butterfly,butterflies and moths
Gatekeeper,butterflies and moths
Glanville Fritillary,butterflies and moths
Grayling,butterflies and moths
Heath Fritillary,butterflies and moths
High Brown Fritillary,butterflies and moths
Large Tortoiseshell,butterflies and moths
Large Wall Brown,butterflies and moths
Lesser Marbled Fritillary,butterflies and moths
Lesser Purple Emperor,butterflies and moths
Map,butterflies and moths
Marbled Fritillary,butterflies and moths
Marbled White,butterflies and moths
Marsh Fritillary,butterflies and moths
Meadow Brown,butterflies and moths
Painted Lady,butterflies and moths
Pearl-bordered Fritillary,butterflies and moths
Pearly Heath,butterflies and moths
Purple Emperor,butterflies and moths
Queen of Spain Fritillary,butterflies and moths
Red Admiral,butterflies and moths
Ringlet,butterflies and moths
Scotch Argus,butterflies and moths
Silver-washed Fritillary,butterflies and moths
